,index,thinker_1,thinker_2,link
5792,6134,Jean-Paul Sartre,R. D. Laing,1
5793,6953,Edvard Kocbek,Drago Jancar,1
5794,5999,Zbigniew Herbert,J. M. Coetzee,1
5795,13116,John Montagu,Seamus Heaney,1
5796,23199,Stéphane Mallarmé,Andrew Sullivan,0
5797,27813,Max Stirner,Ralph Kronig,0
5798,19950,Daniel Dennett,Berit Brogaard,1
5799,23078,Julius von Mayer,William Thomson 1st Baron Kelvin,1
5800,2264,Erik Erikson,William Damon,1
5801,6282,Jean-Paul Sartre,Avital Ronell,0
5802,5986,Richard Pryor,Charlie Moreno,1
5803,6220,Joseph Ginat,Richard Francis Burton,0
5804,14987,Robert W. Chambers,William Hopkins,0
5805,16504,Amelia Peláez,Humberto Calzada,1
5806,8330,Louis Dudek,Eldon Grier,1
5807,19458,Richard Harding Davis,Jim Butcher,0
5808,7952,Marshall McLuhan,Conn Iggulden,0
5809,7282,Louis René Vialy,Claude Joseph Vernet,1
5810,6371,Gustave Flaubert,Émile Zola,1
5811,28619,Robert Browning,W. S. Merwin,0
5812,7280,Vincent van Gogh,Joan Glass,1
5813,22714,Veno Taufer,Rudi eligo,1
5814,6711,Jakob Böhme,G. K. Chesterton,0
5815,18827,Mikhail Bulgakov,Barun Roy,1
5816,1130,Ray Bradbury,Antonio José Cavanilles,0
5817,21832,Martin Heidegger,Kostas Axelos,1
5818,13119,William F. Buckley Jr.,Paul Mooney,0
5819,5140,Arthur Schopenhauer,Donald Baechler,0
5820,4473,John Dos Passos,John Galt,0
5821,23773,Tudor Arghezi,Mircea Cartarescu,1
5822,11937,J. G. Ballard,Gabriela Mistral,0
5823,15258,Aristotle,Proclus,1
5824,9855,Friedrich Albert Lange,Frank Stella,0
5825,12845,Epictetus,Karl Robert Eduard von Hartmann,0
5826,25339,Lenny Bruce,Hao Wang,0
5827,22680,Richard Evans Schultes,Ovid,0
5828,15699,Kurt Vonnegut,Harvey Sacks,0
5829,14575,Hermann Lotze,Rosemary Sutcliff,0
5830,22200,Vladimir Nabokov,Raoul Schrott,1
5831,23675,Pablo Picasso,Ronnie Landfield,1
5832,20249,Mori Ogai,Yoshii Isamu,1
5833,28896,Jean-Paul Sartre,Amin Ahsan Islahi,0
5834,7375,Frank P. Ramsey,Donald Davidso,1
5835,25200,Friedrich Nietzsche,William E. Connolly,1
5836,7819,Spike Milligan,List of recurring actors and actresses in the James Bond film series  John Cleese   1,1
5837,17262,Jack Williamson,Martin Amis,0
5838,11179,Franz Unger,Chris Kuzneski,0
5839,27556,Hans Holbein the Elder,Hans Holbein the Younger,1
5840,27525,Gyula Juhász,Attila József,1
5841,28002,Ernie Kovacs,Gabriela Zapolska,0
5842,26931,Joseph Ginat,Levi Eshkol,1
5843,7423,Arthur Machen,Graham Joyce,1
5844,22264,Charles Lyell,Ed Vega,0
5845,5782,Robert A. Heinlein,Paolo Bacigalupi,1
5846,4814,John Fante,John Dos Passos,0
5847,11067,Alhazen,Tove Jansson,0
5848,25009,Shirley Jackson,Clive James,0
5849,15856,Walt Whitman,Frank Stanford,1
5850,16906,Baruch Spinoza,Leo Strauss,1
5851,25251,Friedrich Nietzsche,Judith Merril,0
5852,26721,Robert Louis Stevenson,Arthur J. Deikman,0
5853,15213,Ferdinand de Saussure,Geoffrey A. Landis,0
5854,28585,György Lukács,Cornel West,1
5855,16192,Tasneem M. Shah,John von Neumann,1
5856,16157,William Faulkner,Robert Flyn,1
5857,2722,Sigmund Freud,Jeff Andrus,1
5858,9224,Jacint Verdaguer,Joan Maragall,1
5859,17448,Sherwood Anderson,William Faulkner,1
5860,26436,Richard Popkin,Luciano Floridi,1
5861,764,Sextus Empiricus,René Descartes,1
5862,2654,Augustus Le Plongeon,Helena Blavatsky,1
5863,22890,Charlie Chaplin,Trofim Lysenko,0
5864,28646,Thomas Browne,Ziauddin Ahmed,0
5865,6214,Karl Marx,Rosemary Pollock,0
5866,28319,Stéphane Mallarmé,Danny Kaye,0
5867,8008,Laurence Sterne,Almeida Garrett,1
5868,6346,Thomas Hart Bento,Charles Henri Joseph Cordier,0
5869,27032,Albert Camus,Brian O'Nolan,0
5870,28351,John Fante,John Dos Passos,0
5871,23157,Fritz Leiber,Gary Gygax,1
5872,22041,Miguel de Cervantes,Fidelio Ponce de León,0
5873,26346,Oscar Wilde,Kurt Gödel,0
5874,2364,Immanuel Kant,Simone de Beauvoir,1
5875,1444,Franz Kafka,Abdul Hamid Bahij,0
5876,7052,Charles Lyell,Geoffrey Burnand,0
5877,19502,John Donne,William Bennett,0
5878,3006,Søren Kierkegaard,György Lukács,1
5879,27407,Lucian,John Niemeyer Findlay,0
5880,13720,Karl Marx,Debiprasad Chattopadhyaya,1
5881,27139,Peter Kropotkin,Takis Fotopoulos,1
5882,17595,Maimonides,Gottfried Leibniz,1
5883,6776,Baruch Spinoza,Gheorghe Asachi,0
5884,27710,William Faulkner,Tim White-Sobieski,1
5885,4454,Journal Kyaw Ma Ma Lay,Khin Khin Htoo,1
5886,22717,Augusta Savage,Hannah Arendt,0
5887,5204,William Golding,Suresh Guptara,1
5888,25291,Joaquim Maria Machado de Assis,Erico Verissimo,1
5889,2197,John Rubens Smith,Mortimer J. Adler,0
5890,8230,Miguel de Cervantes,R. Radhakrishnan,0
5891,21598,Iamblichus,Proclus,1
5892,7769,Joan Miró,Arshile Gorky,1
5893,15545,Giambattista Vico,Syed Shujaat Ali Qadri,0
5894,1734,Alfonso A. Ossorio,Charles Robert Sanger,0
5895,15569,Italo Calvino,Randy Chestnut,0
5896,28004,Alice Munro,Jacqueline Woodson,0
5897,3880,Thomas Henry Huxley,Samuel Richardson,0
5898,7066,Joseph Ginat,Lotfi A. Zadeh,0
5899,8627,Friedrich Wilhelm Joseph Schelling,Francis Ledwidge,0
5900,4367,Thomas Hart Bento,Bill Watterson,0
5901,11269,John Pory,John Donne,1
5902,28177,Jean-Luc Godard,Norman Ollestad,1
5903,15060,H. P. Lovecraft,W. H. Pugmire,1
5904,12899,Heinrich Heine,Hans Christian Andersen,1
5905,23156,Herbert Marcuse,Gerrit Komrij,0
5906,8251,Georg Trakl,Dane Zajc,1
5907,6419,Gustave Flaubert,Maeve Binchy,0
5908,27765,Johann Wolfgang von Goethe,France Preeren,1
5909,3494,Adam Mickiewicz,George Sand,1
5910,21239,Abraham Maslow,Wayne Dyer,1
5911,19586,Lucretius,Luke Fildes,0
5912,24362,René Descartes,Christiaan Huygens,1
5913,26036,Lucretius,Cicero,1
5914,20026,Niels Bohr,Leiji Matsumoto,0
5915,5981,Hannah Arendt,Charles Taylor,1
5916,19872,Jacques Derrida,Sarah Kofman,1
5917,21704,George Gurdjieff,Annie Leibovitz,0
5918,17176,Sam Kinison,Peter Guthrie Tait,0
5919,9757,Parmenides,Henry Villierme,0
5920,7266,John Ruskin,John William Hill,1
5921,15845,Thomas Hart Bento,Terrence Malick,0
5922,25522,Rabindranath Tagore,Gabriela Mistral,1
5923,581,Josiah Warren,Charles E. Burchfield,0
5924,15165,Robert A. Heinlein,Sergey Lukyanenko,1
5925,25,Michel de Montaigne,Rafael Alberti,0
5926,4669,Avempace,Maimonides,1
5927,13407,Claude Lévi-Strauss,Michel Foucault,1
5928,13009,Joseph Butler    1,Roger Zelazny,0
5929,12172,Alexander Herzen,Matsuo Basho,0
5930,18127,Ludwig Wittgenstein,Rose Rand,1
5931,19468,William Gibson,Paolo Bacigalupi,1
5932,5212,Charles Grafton Page,Tommy Cooper,0
5933,1788,Franz Kafka,Federico Fellini,1
5934,4231,Edwin Morga,Susan Elizabeth Phillips,0
5935,15761,Michel de Montaigne,Kiran Desai,0
5936,11369,Georg Wilhelm Friedrich Hegel,Leonardo Polo,1
5937,17610,Charles-François Daubigny,Eric Flint,0
5938,27386,Truman Capote,Joe R. Lansdale,1
5939,9302,Richard Wright,Ernesto Quiñonez,1
5940,20007,Don Rickles,Maximilian Voloshin,0
5941,6897,Robert Benchley,James Thurber,1
5942,2054,Henri Matisse,Georgette Chen,1
5943,25303,Paul Dirac,Robert H. Dicke,1
5944,24559,Stanley William Hayter,Michael Tolkin,0
5945,12779,Christian Friedrich Hebbel,Friedrich de la Motte Fouqué,1
5946,19770,Emanuel Swedenborg,José Zorrilla y Moral,0
5947,14655,Franz Brentano,Kenneth Noland,0
5948,9848,Baltasar Gracián,David Haye,0
5949,8833,André Gide,Antanas Mockus,0
5950,21290,Arthur Schopenhauer,Karl Stern,0
5951,28680,Baruch Spinoza,Richard Popkin,1
5952,23166,Plato,Johannes Scotus Eriugena,1
5953,3493,Mario Szenessy,Raymond Carver,0
5954,2899,Robert E. Howard,David Alfaro Siqueiros,0
5955,6825,Joseph Raz,Jeremy Waldron,1
5956,28849,Michael Davi,Eric Wilso,0
5957,28647,Sue Grafton,M.A. Simonetti,1
5958,18652,Joseph Clement Coll,Roy Krenkel,1
5959,21588,Charles Dickens,G. K. Chesterton,1
5960,5167,Philip K. Dick,Dimitris Christofias,0
5961,6710,John Dewey,Henry Nelson Wieman,1
5962,28194,Lev Shestov,Frank McGuinness,0
5963,7898,Friedrich Adolf Trendelenburg,Ursula McConnel,0
5964,23127,Desiderius Erasmus,David Seltzer,0
5965,26325,Bartholomeus van der Helst,Govert Flinck,1
5966,27093,G. K. Chesterton,Carl Andre,0
5967,1136,Philip K. Dick,Nikolai Berdyaev,0
5968,5394,Louis-Ferdinand Céline,Jens Arup Seip,0
5969,7960,Gabriel García Márquez,Wayne Shorter,0
5970,3826,Renata Adler,David Shields,1
5971,24952,Thomas Aquinas,Gottfried Leibniz,1
5972,12660,Julian Coolidge,Tess Gerritsen,0
5973,9713,Immanuel Kant,Michael Oakeshott,1
5974,17192,Dorothy Parker,Poppy Z. Brite,1
5975,4618,Dave Chappelle,Chris Tucker,1
5976,839,Sayyad Laal Shah Hamdani,Fazal Ali Qureshi,1
5977,2979,Georg Wilhelm Friedrich Hegel,Frantz Fanon,1
5978,22677,Anton Chekhov,John Joseph Haldane,0
5979,10230,Giovanni Gentile,Thomas Aquinas,0
5980,24538,Anselm of Canterbury    1,Paul Whitehouse,0
5981,25306,Alhazen,Strato of Lampsacus,0
5982,7862,Robert Browning,G. K. Chesterton,1
5983,25575,Paul Gauguin,Russell Payne,0
5984,23207,W. W. Jacobs,Laura Ingalls Wilder,0
5985,23350,John Locke,William Henry Hudson,0
5986,18122,Karl Jaspers,Salama Moussa,0
5987,17559,David Tao,Kaira Gong,1
5988,11187,Charles Dickens,Ken Kesey,1
5989,4500,Cicero,Jerzy Grotowski,0
5990,20033,Chad Oliver,Bruce Sterling,1
5991,16518,Johann Gottfried Herder,Rahel Sanzara,0
5992,22587,Jackson Pollock,Morris Louis,1
5993,2883,Ralph Waldo Emerson,George Santayana,1
5994,24142,Dante Alighieri,Dan Flavin,0
5995,24316,Emilio G. Segrè,Ugo Fano,1
5996,1955,Laurence Sterne,Leo Tolstoy,1
5997,27738,Edmund Burke,Immanuel Kant,1
5998,3341,William March,John Gree,0
5999,26066,Franz Kafka,Roberto Bolaño,1
6000,24317,Richard Pryor,Greg Fitzsimmons,1
6001,24996,Mike Nichols,John MacLachlan Gray,1
6002,8090,Norman O. Brown,Camille Paglia,1
6003,7559,Anton Chekhov,Tennessee Williams,1
6004,22810,Dave Chappelle,Chris Tucker,1
6005,4207,Knut Hamsun,Jhonen Vasquez,0
6006,25697,Immanuel Kant,Susanne Langer,1
6007,18502,Matthew Arnold,Geo Bogza,0
6008,10176,Saul Alinsky,Tom Gaudette,1
6009,27811,Lawrence Ferlinghetti,Clarissa Pinkola Estés,1
6010,3926,Simone de Beauvoir,Yuan Ch'iung-ch'iung,0
6011,25938,Giovanni Pico della Mirandola,Simón Bolívar,0
6012,10130,Nikolai Gogol,Artie Lange,0
6013,10833,Peter S. Beagle,Patrick Rothfuss,1
6014,3507,Lenny Bruce,David Cross,1
6015,7347,Max Stirner,Sándor Ferenczi,0
6016,17416,Hugo Grotius,Salama Moussa,0
6017,9889,Wassily Kandinsky,Max Shertz,1
6018,28355,Dashiell Hammett,Ryan David Jahn,1
6019,22953,George Carlin,Will Rogers,0
6020,13591,George Bacovia,Emil Isac,1
6021,27950,Rainer Maria Rilke,N. D. Cocea,0
6022,23722,Adalbert Stifter,Honoré Daumier,0
6023,25874,Gabriele d'Annunzio,Giuseppe Ungaretti,1
6024,23082,Edward Said,Christopher Hitchens,1
6025,678,Plato,Emanuel Swedenborg,1
6026,21586,Alfred Adler,Julian Rotter,1
6027,19233,Anton Chekhov,Ivan Bunin,1
6028,4515,Miguel de Cervantes,Ludwig Börne,0
6029,22564,Alberto Giacometti,Remo Rossi,1
6030,23388,Lucian,Dax Riggs,0
6031,16295,Michael Davi,Toni Wolff,0
6032,27431,Alhazen,John Dryden,0
6033,8592,Brian Aldiss,David Conyers,1
6034,9582,Thomas Aquinas,Josef Pieper,1
6035,4544,Sir George Stokes 1st Baronet,Horace Lamb,1
6036,17456,Robert A. Heinlein,Mark L. Van Name,1
6037,23103,Robert A. Heinlein,Amin Ahsan Islahi,0
6038,13311,Raoul Schrott,Gabriel García Márquez,1
6039,25193,H. G. Wells,Derek Benz,1
6040,1695,Sigmund Freud,Jacques Ellul,0
6041,22731,Stephen King,Jesse S. Greever,1
6042,23526,Alan Turing,Noam Chomsky,1
6043,6131,Franz Kafka,Brian O'Nolan,1
6044,25792,Lenny Bruce,Judy Gold,0
6045,27857,Robert Bloch,Carlos Vaz Ferreira,0
6046,20382,Otto Weininger,Thomas Bernhard,1
6047,25785,James Thurber,Lee Mack,0
6048,24663,Joseph Campbell,George Lucas,1
6049,23213,Robert Coover,Steven Millhauser,1
6050,17651,Robert W. Chambers,Robert Anton Wilson,1
6051,736,Colin Wilson,Elaine May,0
6052,25837,William Shakespeare,Margaret Atwood,1
6053,740,David Hume,Austin Dacey,1
6054,24590,Franz Kafka,John Updike,1
6055,9448,Ludwig Feuerbach,Mikhail Bakunin,1
6056,25125,Ambrose Bierce,Aisling Judge,0
6057,13065,René Magritte,Alfredo de Batuc,1
6058,3465,Kurt Lewin,Brian J. Mistler,1
6059,16683,Franz Kafka,Horia Gârbea,1
6060,21844,Tori Amos,Faye Wong,1
6061,23559,Herbert Simon,Francis Heylighen,1
6062,28876,Julio Cortázar,Juvenal,0
6063,22749,George Eliot,John Trobaugh,0
6064,17782,Sigmund Freud,Philip F. Gura,0
6065,16674,Thomas Henry Huxley,Eiji Yoshikawa,0
6066,1245,Zeno of Citium,Umberto Saba,0
6067,19640,George Carlin,Derrick Henry Lehmer,0
6068,19380,Franz Kafka,Bruno Schulz,1
6069,6580,Wassily Leontief,Joseph Beuys,0
6070,10182,Oscar Wilde,Kenneth Grahame,0
6071,9395,Bernard Cornwell,Simon Scarrow,1
6072,27443,Benjamin Tucker,Antonio Machado,0
6073,7620,Thomas Henry Huxley,Tim O'Brie,0
6074,28307,Shinji Nagashima,Mitsuru Adachi,1
6075,8293,Alice Munro,Antoine Watteau,0
6076,28078,Dr. Seuss,Brian Gage,1
6077,29009,Pythagoras,Étienne Souriau,0
6078,25293,Augusta Savage,Rafael Alberti,0
6079,28047,Annibale Carracci,Simon Vouet,1
6080,11166,Vladimir Solovyo,Nikolai Berdyaev,1
6081,15394,Allen Ginsberg,István Cs. Bartos,1
6082,24275,Ian Fleming,Jesse Lee Kercheval,1
6083,22159,Gabriel García Márquez,Franz Kline,0
6084,23061,Seamus Heaney,Nick Laird,1
6085,24759,Julian Coolidge,Karl Pearson,0
6086,9203,Benedetto Croce,Umberto Eco,1
6087,7459,Proclus,Sholem Aleichem,0
6088,1364,Baruch Spinoza,Friedrich Nietzsche,1
6089,13552,Jean-Jacques Rousseau,Allan Bloom,1
6090,7180,Stendhal,Friedrich Nietzsche,1
6091,28513,Stéphane Mallarmé,Alphonsus de Guimaraens,1
6092,11335,Wassily Leontief,Garth Ennis,0
6093,16154,J. G. Ballard,Christopher Priest,1
6094,5902,Muhammad ibn Abd al-Wahhab,Syed Ahmed Khan,1
6095,19834,Cicero,Joe Feddersen,0
6096,819,Lucian,Desiderius Erasmus,1
6097,12029,Theodore Roosevelt,Gary W. Moore,1
6098,27921,Matthew Arnold,Bill Watterson,0
6099,20613,Friedrich Albert Lange,Mirza Salaamat Ali Dabeer,0
6100,4379,Plato,Eric Voegelin,1
6101,24315,Nicholas of Cusa,Paul Kane,0
6102,9106,Montesquieu,Adam Ferrara,0
6103,12981,Franz Kafka,Eileen Chang,0
6104,23153,Abbie Hoffman,James Gregory,0
6105,28484,Shirley Jackson,Nikolai Menshutkin,0
6106,28486,Allen Ginsberg,John S. Hall,1
6107,1959,Leconte de Lisle,Geoffrey A. Landis,0
6108,2126,James Salter,Nick Antosca,1
6109,14599,Poul Anderson,Jennifer Gidley,0
6110,27336,André Gide,Cleon Skousen,0
6111,2533,Joseph de Maistre,Francisco Franco,1
6112,11665,Victor Hugo,William Alfred Fowler,0
6113,200,Stephen King,Gregório de Mattos,0
6114,23471,Abbie Hoffman,John Green,0
6115,9880,Joel Chandler Harris,Robert Boyle,0
6116,11629,Robert A. Heinlein,Andrew S.I.D. Lang,1
6117,6315,Dante Alighieri,Rahat Indori,0
6118,4076,Johann Gottfried Herder,Nina Power,0
6119,5908,J. G. Ballard,Zhang Deli,0
6120,25883,Jacobus Kapteyn,Frits Zernike,1
6121,10476,Edward Gorey,Elizabeth McGrath,1
6122,10288,Abdul Ghaffar Naqshbandi,Muhammad Tahir,1
6123,12401,George Santayana,Wallace Stevens,1
6124,4967,Lord Byron,Léon Bonnat,0
6125,373,Karl Marx,Imre Lakatos,1
6126,21365,Sigmund Freud,Eve Kosofsky Sedgwick,1
6127,23161,Alexandre Dumas,Terry Brooks,1
6128,11981,John Rubens Smith,Mortimer J. Adler,0
6129,27278,Paul Mooney,Richard Pryor,1
6130,275,John Davidso,Werner Krieglstein,0
6131,26464,Lawrence Alma-Tadema,John William Waterhouse,1
6132,18061,Edward Plunkett 18th Baron of Dunsany,Dorian Shainin,0
6133,3912,Charles Darwin,Dave Sim,0
6134,16531,Don Rickles,Howard Stern,1
6135,8582,Immanuel Kant,Samuel Beckett,1
6136,15784,J. G. Ballard,Thomas M. Disch,1
6137,8106,Benny Hill,Pablo Francisco,1
6138,16685,Gustave Flaubert,Albrecht Dürer,0
6139,4045,Marshall McLuhan,Brian Blessed,0
6140,8295,John Rubens Smith,Yoshiharu Tsuge,0
6141,13600,Edward Plunkett 18th Baron of Dunsany,Ken Lum,0
6142,2589,M. R. James,James Chadwick,0
6143,16880,Emanuel Swedenborg,José Zorrilla y Moral,0
6144,12578,Ring Lardner,J. D. Salinger,1
6145,19690,Georg Wilhelm Friedrich Hegel,Antonio Gramsci,1
6146,10221,Jacob Cats,Cornelis de Bie,1
6147,21786,Zeno of Citium,Ilia Chavchavadze,0
6148,5246,Joan Rivers,Jen Kirkman,1
6149,10555,Cicero,Wilhelm Dilthey,0
6150,23358,Mykhailo Drahomanov,Lesya Ukrainka,1
6151,19641,Anita Mui,Eason Chan,1
6152,3186,Bruce Sterling,Alastair Reynolds,1
6153,24138,George Carlin,Lewis Black,1
6154,3573,Milorad Pavic,Ale Debeljak,1
6155,13490,John Davidso,Werner Krieglstein,0
6156,10609,Kabir,Osh,1
6157,9488,Algernon Blackwood,Théophile de Donder,0
6158,4958,Nalî,Abdurrahman Sharafkandi,1
6159,17523,Henri Barbusse,Karl Herzfeld,0
6160,28503,Richard Pryor,Loni Love,1
6161,26110,Robert G. Ingersoll,Ezra Koenig,0
6162,6391,Friedrich Engels,Lars von Trier,0
6163,6763,Rudolf Steiner,Joseph Beuys,1
6164,13668,Howard Pyle,Kim Douglas Wiggins,1
6165,23488,Daphne du Maurier,Ma Jir Bo,0
6166,9691,Robert B. Parker,Mariam Petrosyan,0
6167,5785,Herbert Marcuse,Norman Geisler,0
6168,22273,Lucretius,James Clerk Maxwell,0
6169,24610,Jakob Böhme,Nicolas Léonard Sadi Carnot,0
6170,2866,Stilpo,Zeno of Citium,1
6171,9870,Emil Lask,Jesse Bullington,0
6172,22629,Gilles Deleuze,Brian Massumi,1
6173,4645,John D. MacDonald,Huey P. Newton,0
6174,29083,Georges Cuvier,Étienne Geoffroy Saint-Hilaire,1
6175,23289,Gustave Flaubert,Orhan Pamuk,1
6176,18901,Jean-Jacques Rousseau,Robert William,0
6177,13508,D. H. Lawrence,Rivka,0
6178,2613,Jean Rhys,Tao Lin,1
6179,26707,John Stuart Mill,Paco Ahlgren,1
6180,25220,Paul Ricur,Charles Ritcheson,0
6181,25820,Augustus De Morgan,Isaac Todhunter,1
6182,28039,Lucretius,Gustav Klimt,0
6183,19706,Kostas Axelos,Jacek Dukaj,0
6184,172,Pedro Calderón de la Barca,Allan Kaprow,0
6185,8776,Ovid,Antoine Furetière,0
6186,22656,F. Scott Fitzgerald,Charles Blackstone,1
6187,27880,Aristotle,Ayn Rand,1
6188,18177,Plato,David C. Hayes,0
6189,21200,Harold Pinter,Vasily Vereshchagin,0
6190,3074,Tristan Tzara,Jacques Derrida,0
6191,28928,John D. MacDonald,Richard Dean Starr,1
6192,13509,David Hockney,Steve Co,1
6193,1909,Haji Dost Muhammad Qandhari,Jan-Fishan Khan,1
6194,2955,Vladimir Nabokov,Mary Gaitskill,1
6195,7618,Malcolm Hardee,Vic Reeves,1
6196,11511,Adolfo Bioy Casares,Ángel Faretta,1
6197,16464,Colin Wilson,Sir Fitzroy MacLean 1st Baronet,0
6198,24112,Paul Cézanne,Leo Marchutz,1
6199,10773,Mario Szenessy,Raymond Carver,0
6200,1356,Jens Peter Jacobsen,Hugo Grotius,0
6201,4960,Eric Berne,Terry Goodkind,0
6202,16670,C. S. Forester,Bernard Cornwell,1
6203,6303,Baltasar Gracián,Zhu Xi,0
6204,9205,Seymour Benzer,Richard Feynman,1
6205,24697,Richard Harding Davis,Hans Binder,0
6206,19738,Henry Murray,Gary Goldschneider,1
6207,25965,George David Birkhoff,Jürgen Moser,1
6208,15906,Charles Grafton Page,Helen Bradley,0
6209,27749,Alfred North Whitehead,Hans Jonas,1
6210,12389,Gottfried Leibniz,John Ehle,0
6211,27196,John Lennon,Dave Wong,1
6212,5583,Thomas Henry Huxley,Xun Zi,0
6213,10459,Lord Byron,Norman Borlaug,0
6214,23836,Georges Braque,Antonio Lope,1
6215,6695,George Eliot,George Grant,0
6216,27058,Brian O'Nolan,José Bonifácio the Young,0
6217,13210,Lev Shestov,Louis Aragon,0
6218,17841,Robert Browning,Pierre Duhem,0
6219,28496,Henry Vianden,Robert Schade,1
6220,23100,Julian Huxley,Aldous Huxley,1
6221,13465,Judith Butler,Eve Kosofsky Sedgwick,1
6222,6397,John Locke,Mortimer J. Adler,1
6223,16860,Will Eisner,Gary Chaloner,1
6224,2208,Alhazen,James O'Barr,0
6225,10573,Wilfrid Sellars,Ray Brassier,1
6226,8600,Richard Harding Davis,Jim Butcher,0
6227,13513,Posidonius,Roger Martin du Gard,0
6228,938,Henri Bergson,Mario Christian Meyer,1
6229,17891,Rudyard Kipling,Alphonse Mucha,0
6230,25649,Ian Fleming,Anthony Horowitz,1
6231,7616,Leonardo da Vinci,Roger Ing,1
6232,21923,Italo Calvino,Daniel Wallac,1
6233,17205,Hugo Grotius,A. L. Kennedy,0
6234,21571,Epictetus,Han Ryner,1
6235,6082,Fyodor Dostoyevsky,Simon Vestdijk,1
6236,21740,Bram Stoker,Ray Combs,0
6237,19792,Robert Walter Weir,James Abbott McNeill Whistler,1
6238,14091,Roger Zelazny,Erick Wujcik,1
6239,22326,Franz Unger,Truman Capote,0
6240,15176,Virgil,Ismail Kadare,0
6241,21854,Otto Weininger,Pieter Stoop,0
6242,11615,F. H. Bradley,Carl Ludwig Siegel,0
6243,797,Arthur Rimbaud,Jeremy Robinson,0
6244,18571,Pier Paolo Pasolini,Sergei Parajanov,1
6245,27244,R. A. Lafferty,Neil Gaiman,1
6246,887,F. H. Bradley,Kathy Burke,0
6247,10053,Robert E. Howard,Pandeli Sotiri,0
6248,25099,Alfred Tarski,Willard Van Orman Quine,1
6249,10227,Henri Bergson,Marcel Proust,1
6250,6222,Kurt Vonnegut,Antonie Pannekoek,0
6251,3021,Edgar Rice Burroughs,Emmanuel Levinas,0
6252,4103,Jean-Paul Sartre,Martin Lings,0
6253,18623,Lloyd Alexander,Michael McIntyre,0
6254,23308,Edward Gorey,Elizabeth McGrath,1
6255,19662,Jenny Holzer,Zhang Deli,1
6256,6009,Philip K. Dick,Steve Erickson,1
6257,6584,Ron Josol,Ryan Maglunob,1
6258,8189,George Carlin,Jimmy Carr,1
6259,27916,Hunter S. Thompson,Jeffrey Morgan,1
6260,572,Kyriakos Charalambides,Robert McCloskey,0
6261,27198,Thomas Browne,Anton Pann,0
6262,15304,Ramon Llull,Gottfried Leibniz,1
6263,1840,Hans Reichenbach,Hilary Putnam,1
6264,4432,Otto Weininger,Henry Vollam Morton,0
6265,4360,Protagoras,Sharon Chan,0
6266,16125,Paul the Apostle,Hannah Arendt,1
6267,8446,Stendhal,Alice Munro,1
6268,21194,Larry David,Bruno Nogueira,1
6269,13011,Lev Shestov,Francis Picabia,0
6270,22410,Arthur Schopenhauer,Robinson Jeffers,1
6271,9552,Henri Rousseau,Maulana Mehmud Hasan,0
6272,4593,Michael Davi,Philip Burton Moon,0
6273,15524,Sylvia Plath,Charlie Grosso,1
6274,26781,A. E. van Vogt,Jerry Pournelle,1
6275,2930,Jack Paar,Barbara Branden,0
6276,179,Frank P. Ramsey,Ludwig Wittgenstein,1
6277,16524,Martin Buber,Mary Daly,1
6278,22818,Pantazi Ghica,Alexandru Macedonski,1
6279,96,Terence McKenna,William Lax,0
6280,4417,Joaquim Maria Machado de Assis,Robert F. Kennedy,0
6281,14756,Emanuel Swedenborg,Juan Boria,0
6282,27820,Johnny Carson,Catharine MacKinnon,0
6283,10826,Joaquim Maria Machado de Assis,V. K. Gokak,0
6284,12010,Jean Baudrillard,Alan N. Shapiro,1
6285,6681,Friedrich Wilhelm Joseph Schelling,Henri Bergson,1
6286,6078,Albert Camus,Russ Warren,0
6287,11244,Fyodor Dostoyevsky,Ryan David Jahn,1
6288,2259,Nicholas of Cusa,Lise Meitner,0
6289,15542,Jon Stewart,Gladston,1
6290,21097,Philippe Pinel,Jean-Étienne Dominique Esquirol,1
6291,8140,Charles Demuth,Robert Cottingham,1
6292,6127,Gabriel García Márquez,Jeffrey Eugenides,1
6293,1327,Friedrich Nietzsche,Félix Guattari,1
6294,1731,African Spir,John Speedy Keene,0
6295,18764,Jan Hus,Petr Chelcický,1
6296,25576,Rafael Barrett,Antoine Ranc,0
6297,9385,Joseph Ginat,Sofia Rotaru,0
6298,5555,Abraham Lincoln,Edgar Lee Masters,1
6299,14669,Pablo Neruda,Gjekë Marinaj,1
6300,10670,Søren Kierkegaard,Ludwig Binswanger,1
6301,6428,Richard Courant,Takahiko Yamanouchi,1
6302,10753,Anton Chekhov,Leonardo da Vinci,0
6303,6608,Friedrich Nietzsche,J. Robert Oppenheimer,0
6304,2605,Thomas Hart Bento,Jerome Lettvin,0
6305,28242,William Blake,Hans Christian Andersen,0
6306,25361,Don DeLillo,Jean-François Lyotard,0
6307,12879,William Blake,Harry Hill,0
6308,3853,Baruch Spinoza,Gottfried Kinkel,0
6309,13434,Albert Camus,Barry Hannah,1
6310,7758,Percy Bysshe Shelley,Wallace Stevens,1
6311,1380,Johnny Carson,William Henry Flower,0
6312,10240,Hart Crane,C. S. Lewis,0
6313,15007,Richard Matheson,Philippe Pinel,0
6314,15571,Augusta Savage,Karel Appel,0
6315,17958,Harlan Ellison,Stephen Dedman,1
6316,19187,Marshall McLuhan,Peter Wessel Zapffe,0
6317,24847,Antonio Labriola,Benedetto Croce,1
6318,22758,Bram Stoker,Agustus Montrose,1
